type,max_charge,min_charge,max_cont_discharge_charge,max_peak_discharge,min_discharge,eff_charge,eff_discharge,self_discharge,capital_cost,marginal_cost,ramp_speed,resp_time,usable_start,usable_end,fixed_cap
li-ion,1,0.05,0.4,0.6,0,0.95,0.95,(-(233189*e^(-(493*('(-(10^12*ln(-e^-((100x-2855)/473)+1)+275221.68)/0.3944)-3275300))/1250000000000000-1567/1000000000))/(125000000000000000*(1-e^(-(493*('(-(10^12*ln(-e^-((100x-2855)/473)+1)+275221.68)/0.3944)-3275300))/1250000000000000-1567/1000000000)))),650,,,,,,
flywheel,1,0.14,0.86*0.25,0.86*0.25,0,x**4/((1.01105*x**2+0.199918*x-0.165293)*(1.00075*x**2+0.279493*x+0.0342874)),x**4/((1.01105*x**2+0.199918*x-0.165293)*(1.00075*x**2+0.279493*x+0.0342874)),7.47775x+8.52548*x**(-1/2)+57.118,330,,,<1s,,,
v2g,1,0.05,0.25,0.25,0,0.95,0.95,(-(233189*e^(-(493*('(-(10^12*ln(-e^-((100x-2855)/473)+1)+275221.68)/0.3944)-3275300))/1250000000000000-1567/1000000000))/(125000000000000000*(1-e^(-(493*('(-(10^12*ln(-e^-((100x-2855)/473)+1)+275221.68)/0.3944)-3275300))/1250000000000000-1567/1000000000)))),"0, 1 unit per house",,<1s,<1s (or aggregator?),,,48
flow,1,0,,1.2*D5,0,0.883,0.883,0,1400,,<1s,<1s,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
